epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3836.39,0.94977,5.94834,1.54411,0.00096,0.40896,0.00194,0.00176,0.19032,38.5401,0.40515,3.86487e-05,3.86487e-05,3.86487e-05
2,8060.07,0.5522,5.38413,1.17038,0.00116,0.69268,0.003,0.00292,0.16083,35.7133,0.3171,7.57845e-05,7.57845e-05,7.57845e-05
3,12328.6,0.50376,5.08151,1.12203,0.00127,0.7601,0.00398,0.00378,0.15232,29.8051,0.31262,0.000111389,0.000111389,0.000111389
4,17318.4,0.46813,4.74625,1.09419,0.00125,0.80303,0.004,0.00381,0.14124,25.6595,0.28905,0.00010911,0.00010911,0.00010911
5,22324.4,0.43866,4.43888,1.06012,0.00125,0.7803,0.00366,0.00348,0.13818,22.2993,0.28167,0.000106813,0.000106813,0.000106813
6,27606.3,0.43112,4.1936,1.06043,0.00125,0.80303,0.00355,0.00351,0.10488,19.8323,0.24695,0.000104516,0.000104516,0.000104516
7,32343.8,0.40394,4.04372,1.04352,0.00128,0.80303,0.00523,0.00506,0.13004,17.4692,0.26778,0.000102219,0.000102219,0.000102219
8,87059.6,0.39586,3.94848,1.0318,0.00122,0.74369,0.00525,0.00519,0.11794,14.555,0.24763,9.99224e-05,9.99224e-05,9.99224e-05
9,92141.1,0.37953,3.86437,1.01983,0.00125,0.75379,0.00607,0.0059,0.12684,13.0762,0.26202,9.76256e-05,9.76256e-05,9.76256e-05
10,97232.6,0.38336,3.67491,1.02976,0.00124,0.74684,0.01276,0.01264,0.11307,14.6644,0.24818,9.53288e-05,9.53288e-05,9.53288e-05
11,102317,0.36754,3.65799,1.01539,0.00128,0.77336,0.00634,0.00623,0.10437,13.5312,0.23885,9.3032e-05,9.3032e-05,9.3032e-05
12,107480,0.35519,3.62,1.00775,0.00125,0.78283,0.00524,0.00516,0.10128,12.5821,0.23971,9.07352e-05,9.07352e-05,9.07352e-05
13,112477,0.3505,3.57558,1.00728,0.00122,0.74937,0.0066,0.00654,0.11011,12.2,0.25019,8.84384e-05,8.84384e-05,8.84384e-05
14,117979,0.35271,3.57044,1.00168,0.00124,0.70164,0.0065,0.0063,0.11465,10.8342,0.24934,8.61416e-05,8.61416e-05,8.61416e-05
15,122929,0.34911,3.49451,1.0019,0.00123,0.68497,0.00617,0.00615,0.09211,10.0871,0.22986,8.38448e-05,8.38448e-05,8.38448e-05
16,127443,0.34736,3.49862,0.9941,0.00175,0.38636,0.01059,0.01053,0.10052,9.31468,0.22929,8.1548e-05,8.1548e-05,8.1548e-05
17,131865,0.34733,3.42286,1.00452,0.00125,0.72096,0.00749,0.00745,0.10164,10.9008,0.23443,7.92512e-05,7.92512e-05,7.92512e-05
18,135967,0.32723,3.45172,0.98901,0.00131,0.70543,0.00867,0.00866,0.08639,8.44606,0.22063,7.69544e-05,7.69544e-05,7.69544e-05
19,140083,0.32585,3.41499,0.98508,0.09292,0.15253,0.00879,0.00872,0.09245,7.90369,0.22433,7.46576e-05,7.46576e-05,7.46576e-05
20,144171,0.32103,3.39267,0.98342,0.00129,0.66831,0.00631,0.0063,0.07808,7.9107,0.21182,7.23608e-05,7.23608e-05,7.23608e-05
21,148197,0.31227,3.35061,0.98393,0.24404,0.10065,0.00951,0.00949,0.09019,8.3079,0.2249,7.0064e-05,7.0064e-05,7.0064e-05
22,152133,0.3164,3.34081,0.98252,0.55514,0.0303,0.0118,0.0118,0.085,8.36033,0.22206,6.77672e-05,6.77672e-05,6.77672e-05
